danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,href,analysis_url,duration_ms,time_signature,artists,popularity,name,release_date,album
0.737,0.838,0,-3.943,0,0.0392,0.143,1.92e-05,0.0683,0.966,155.986,audio_features,4jAdC1wuRgCLLFJVHeV1rV,spotify:track:4jAdC1wuRgCLLFJVHeV1rV,https://api.spotify.com/v1/tracks/4jAdC1wuRgCLLFJVHeV1rV,https://api.spotify.com/v1/audio-analysis/4jAdC1wuRgCLLFJVHeV1rV,216800,4,SHAUN,40,36.5,2019-08-15,36.5
0.41,0.961,1,-1.139,1,0.067,0.00144,0.00924,0.215,0.287,131.015,audio_features,7BDLoV46DeSGv61nfxgogu,spotify:track:7BDLoV46DeSGv61nfxgogu,https://api.spotify.com/v1/tracks/7BDLoV46DeSGv61nfxgogu,https://api.spotify.com/v1/audio-analysis/7BDLoV46DeSGv61nfxgogu,281800,4,TEARS OF TRAGEDY,11,Euclase,2013-12-04,Continuation of the Dream
0.746,0.611,0,-7.034,0,0.101,0.454,0.000922,0.133,0.411,149.967,audio_features,5dn6QANKbf76pANGjMBida,spotify:track:5dn6QANKbf76pANGjMBida,https://api.spotify.com/v1/tracks/5dn6QANKbf76pANGjMBida,https://api.spotify.com/v1/audio-analysis/5dn6QANKbf76pANGjMBida,172245,4,MAX,72,Blueberry Eyes (feat. SUGA of BTS),2020-09-15,Blueberry Eyes (feat. SUGA of BTS)
0.335,0.938,10,-2.554,0,0.205,0.00408,3.98e-06,0.071,0.538,172.735,audio_features,4ssMX3TcBfOlyWRvQxJywV,spotify:track:4ssMX3TcBfOlyWRvQxJywV,https://api.spotify.com/v1/tracks/4ssMX3TcBfOlyWRvQxJywV,https://api.spotify.com/v1/audio-analysis/4ssMX3TcBfOlyWRvQxJywV,282027,4,寺島拓篤,40,メグルモノ,2019-02-27,メグルモノ (アーティスト盤)
0.541,0.8,6,-3.687,1,0.0382,0.0442,0.0,0.398,0.56,129.939,audio_features,43MGiVpukiSOnm7RdltAtZ,spotify:track:43MGiVpukiSOnm7RdltAtZ,https://api.spotify.com/v1/tracks/43MGiVpukiSOnm7RdltAtZ,https://api.spotify.com/v1/audio-analysis/43MGiVpukiSOnm7RdltAtZ,299164,4,Official HIGE DANdism,40,Yesterday,2019-09-30,Traveler
0.758,0.927,7,-2.105,1,0.0537,0.062,0.0,0.343,0.738,122.999,audio_features,71vPAjlG1x606483GTJNhY,spotify:track:71vPAjlG1x606483GTJNhY,https://api.spotify.com/v1/tracks/71vPAjlG1x606483GTJNhY,https://api.spotify.com/v1/audio-analysis/71vPAjlG1x606483GTJNhY,217760,4,IZ*ONE,26,FIESTA,2020-02-17,BLOOM*IZ
0.596,0.768,6,-4.948,1,0.145,0.0548,0.0,0.154,0.673,173.99,audio_features,4ytyLpIwUXbdFsNOvgNnmP,spotify:track:4ytyLpIwUXbdFsNOvgNnmP,https://api.spotify.com/v1/tracks/4ytyLpIwUXbdFsNOvgNnmP,https://api.spotify.com/v1/audio-analysis/4ytyLpIwUXbdFsNOvgNnmP,188238,4,TAEYEON,57,Four Seasons,2019-03-24,Four Seasons
0.419,0.943,8,-3.262,1,0.107,0.0835,2.25e-06,0.0931,0.497,188.893,audio_features,5NGm26oocMTusxp4nqNKx2,spotify:track:5NGm26oocMTusxp4nqNKx2,https://api.spotify.com/v1/tracks/5NGm26oocMTusxp4nqNKx2,https://api.spotify.com/v1/audio-analysis/5NGm26oocMTusxp4nqNKx2,251907,4,TrySail,33,ごまかし,2020-03-11,Gomakashi/Utsuroi
0.4,0.724,8,-6.064,1,0.253,0.375,0.0,0.0927,0.43,96.782,audio_features,2c37Gkpu75l3kvh1FUZrHV,spotify:track:2c37Gkpu75l3kvh1FUZrHV,https://api.spotify.com/v1/tracks/2c37Gkpu75l3kvh1FUZrHV,https://api.spotify.com/v1/audio-analysis/2c37Gkpu75l3kvh1FUZrHV,216786,4,Jay Park,25,All I Wanna Do (feat. Hoody & 로꼬 Loco) [Korean Version],2016-10-20,Everything You Wanted
0.387,0.361,2,-5.828,0,0.0311,0.832,0.0,0.103,0.167,122.74,audio_features,0fXl8VsWUiIdJN0YDGey24,spotify:track:0fXl8VsWUiIdJN0YDGey24,https://api.spotify.com/v1/tracks/0fXl8VsWUiIdJN0YDGey24,https://api.spotify.com/v1/audio-analysis/0fXl8VsWUiIdJN0YDGey24,235555,4,AKMU,0,Melted,2014-04-07,PLAY
