danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,href,analysis_url,duration_ms,time_signature,artists,popularity,name,release_date,album
0.365,0.851,4,-6.238,0,0.065,0.0964,0.003,0.238,0.309,78.068,audio_features,1lgN0A2Vki2FTON5PYq42m,spotify:track:1lgN0A2Vki2FTON5PYq42m,https://api.spotify.com/v1/tracks/1lgN0A2Vki2FTON5PYq42m,https://api.spotify.com/v1/audio-analysis/1lgN0A2Vki2FTON5PYq42m,170067,4,Imagine Dragons,67,Warriors,2015-10-30,Smoke + Mirrors (Deluxe)
0.509,0.502,1,-6.972,0,0.0915,0.765,0.0,0.396,0.341,79.16,audio_features,6FZAc2XaVYc8G8jaDnBshv,spotify:track:6FZAc2XaVYc8G8jaDnBshv,https://api.spotify.com/v1/tracks/6FZAc2XaVYc8G8jaDnBshv,https://api.spotify.com/v1/audio-analysis/6FZAc2XaVYc8G8jaDnBshv,205312,4,HEIZE,58,"You, Clouds, Rain",2017-06-26,"/// (You, Clouds, Rain)"
0.713,0.802,4,-6.162,0,0.151,0.282,0.000328,0.369,0.34,77.481,audio_features,5ZvOiFNa14akPXHddJgYFW,spotify:track:5ZvOiFNa14akPXHddJgYFW,https://api.spotify.com/v1/tracks/5ZvOiFNa14akPXHddJgYFW,https://api.spotify.com/v1/audio-analysis/5ZvOiFNa14akPXHddJgYFW,268133,4,Epik High,38,1분 1초 (feat. 타루),2008-09-30,Lovescream
0.512,0.765,7,-5.252,1,0.136,0.246,0.0,0.0573,0.519,169.709,audio_features,3uA8SjMyDtwtt0jLPMQbVD,spotify:track:3uA8SjMyDtwtt0jLPMQbVD,https://api.spotify.com/v1/tracks/3uA8SjMyDtwtt0jLPMQbVD,https://api.spotify.com/v1/audio-analysis/3uA8SjMyDtwtt0jLPMQbVD,229360,4,DEAN,63,D (Half Moon),2016-03-25,130 Mood : TRBL
0.537,0.896,7,-7.069,1,0.04,0.0139,0.869,0.222,0.366,128.048,audio_features,4KoOcR6rp5JmKLLvubzf4R,spotify:track:4KoOcR6rp5JmKLLvubzf4R,https://api.spotify.com/v1/tracks/4KoOcR6rp5JmKLLvubzf4R,https://api.spotify.com/v1/audio-analysis/4KoOcR6rp5JmKLLvubzf4R,297640,4,Masafumi Takada,40,Debate Scrum,2017-02-24,Danganronpa V3: Killing Harmony Original Soundtrack Black
0.325,0.795,2,-5.729,1,0.0556,0.0116,0.00168,0.0608,0.396,153.129,audio_features,4UG8TlKQRhvXeNigcHT8vr,spotify:track:4UG8TlKQRhvXeNigcHT8vr,https://api.spotify.com/v1/tracks/4UG8TlKQRhvXeNigcHT8vr,https://api.spotify.com/v1/audio-analysis/4UG8TlKQRhvXeNigcHT8vr,256053,4,Kalafina,46,to the beginning,2008,The Best Blue
0.732,0.354,9,-8.361,1,0.0365,0.439,1.86e-05,0.128,0.554,87.991,audio_features,12AZFn9F5h9tlxMEbdZEwm,spotify:track:12AZFn9F5h9tlxMEbdZEwm,https://api.spotify.com/v1/tracks/12AZFn9F5h9tlxMEbdZEwm,https://api.spotify.com/v1/audio-analysis/12AZFn9F5h9tlxMEbdZEwm,217818,4,Junggigo,46,"247 (Feat. Zion.T, Crush, DEAN)",2017-04-20,ACROSS THE UNIVERSE
0.746,0.441,11,-10.032,1,0.454,0.556,0.0,0.117,0.368,76.933,audio_features,7cwu0oTrhXX6JG1kcIZo0M,spotify:track:7cwu0oTrhXX6JG1kcIZo0M,https://api.spotify.com/v1/tracks/7cwu0oTrhXX6JG1kcIZo0M,https://api.spotify.com/v1/audio-analysis/7cwu0oTrhXX6JG1kcIZo0M,164980,4,ZICO,49,She’s a Baby,2017-04-13,She's a Baby
0.612,0.976,2,-3.557,0,0.276,0.0237,0.0,0.0302,0.378,101.49,audio_features,0937IXTgnS6Uoz7YQF2KT1,spotify:track:0937IXTgnS6Uoz7YQF2KT1,https://api.spotify.com/v1/tracks/0937IXTgnS6Uoz7YQF2KT1,https://api.spotify.com/v1/audio-analysis/0937IXTgnS6Uoz7YQF2KT1,202307,4,LiSA,25,ANTIHERO,2015-03-04,Launcher
0.747,0.725,6,-6.249,0,0.0388,0.0972,0.0,0.106,0.664,119.887,audio_features,5yyJr6cv3cObSAioXR8h8X,spotify:track:5yyJr6cv3cObSAioXR8h8X,https://api.spotify.com/v1/tracks/5yyJr6cv3cObSAioXR8h8X,https://api.spotify.com/v1/audio-analysis/5yyJr6cv3cObSAioXR8h8X,228320,4,HYUKOH,0,Comes And Goes,2015-05-28,22
