danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,href,analysis_url,duration_ms,time_signature,artists,popularity,name,release_date,album
0.492,0.858,2,-3.262,1,0.0416,0.000351,0.0,0.321,0.465,139.968,audio_features,30vwJyzztkKAKf0XEkR7Rc,spotify:track:30vwJyzztkKAKf0XEkR7Rc,https://api.spotify.com/v1/tracks/30vwJyzztkKAKf0XEkR7Rc,https://api.spotify.com/v1/audio-analysis/30vwJyzztkKAKf0XEkR7Rc,275604,4,THE ORAL CIGARETTES,34,Tonariau,2018-06-13,Kisses and Kills
0.698,0.882,10,-4.813,0,0.0483,0.0017,7.49e-06,0.382,0.518,99.979,audio_features,0fic7hCiOChnFHIRm8XbAC,spotify:track:0fic7hCiOChnFHIRm8XbAC,https://api.spotify.com/v1/tracks/0fic7hCiOChnFHIRm8XbAC,https://api.spotify.com/v1/audio-analysis/0fic7hCiOChnFHIRm8XbAC,194013,4,Reol,30,平面鏡,2018-03-14,虚構集
0.79,0.888,10,-3.589,0,0.0479,0.034,4.48e-06,0.0783,0.946,148.028,audio_features,3aG0gbuvZ1VeVm68d4J6Yq,spotify:track:3aG0gbuvZ1VeVm68d4J6Yq,https://api.spotify.com/v1/tracks/3aG0gbuvZ1VeVm68d4J6Yq,https://api.spotify.com/v1/audio-analysis/3aG0gbuvZ1VeVm68d4J6Yq,177000,4,CLC,57,Devil,2019-09-06,Devil
0.419,0.925,0,-2.762,1,0.0562,0.0132,0.0,0.208,0.537,171.089,audio_features,1BP6Yk189bh8xw6hoSYucr,spotify:track:1BP6Yk189bh8xw6hoSYucr,https://api.spotify.com/v1/tracks/1BP6Yk189bh8xw6hoSYucr,https://api.spotify.com/v1/audio-analysis/1BP6Yk189bh8xw6hoSYucr,277480,4,the peggies,42,スタンドバイミー,2019-05-29,Stand by Me
0.453,0.849,6,-1.337,0,0.125,0.428,0.0,0.1,0.638,173.917,audio_features,1e7eOq89QU6vGYCJp9yW2L,spotify:track:1e7eOq89QU6vGYCJp9yW2L,https://api.spotify.com/v1/tracks/1e7eOq89QU6vGYCJp9yW2L,https://api.spotify.com/v1/audio-analysis/1e7eOq89QU6vGYCJp9yW2L,216488,4,GFRIEND,55,Sunrise,2019-01-14,GFRIEND The 2nd Album 'Time for us'
0.428,0.447,7,-5.889,0,0.0389,0.506,0.0,0.0943,0.332,119.225,audio_features,3PBKWXHVIcHtN64Oshbl7a,spotify:track:3PBKWXHVIcHtN64Oshbl7a,https://api.spotify.com/v1/tracks/3PBKWXHVIcHtN64Oshbl7a,https://api.spotify.com/v1/audio-analysis/3PBKWXHVIcHtN64Oshbl7a,295219,4,LiSA,57,unlasting,2019-10-21,unlasting
0.669,0.919,7,-2.262,0,0.0711,0.0357,6.81e-06,0.222,0.538,96.955,audio_features,0RqzUS7AkBhQDrBxcGFeDv,spotify:track:0RqzUS7AkBhQDrBxcGFeDv,https://api.spotify.com/v1/tracks/0RqzUS7AkBhQDrBxcGFeDv,https://api.spotify.com/v1/audio-analysis/0RqzUS7AkBhQDrBxcGFeDv,196864,4,LOONA,63,Hi High,2018-08-20,[+ +]
0.671,0.859,4,-3.922,0,0.0833,0.0313,0.0,0.267,0.39,139.931,audio_features,2aI2k39nfa3KFsa4JclQzw,spotify:track:2aI2k39nfa3KFsa4JclQzw,https://api.spotify.com/v1/tracks/2aI2k39nfa3KFsa4JclQzw,https://api.spotify.com/v1/audio-analysis/2aI2k39nfa3KFsa4JclQzw,209355,4,BLACKPINK,18,DDU-DU DDU-DU,2018-06-15,SQUARE UP
0.473,0.756,7,-4.958,1,0.0515,0.00611,0.0,0.083,0.489,153.876,audio_features,3sePSu5Iv52Sf6qUNzqCT8,spotify:track:3sePSu5Iv52Sf6qUNzqCT8,https://api.spotify.com/v1/tracks/3sePSu5Iv52Sf6qUNzqCT8,https://api.spotify.com/v1/audio-analysis/3sePSu5Iv52Sf6qUNzqCT8,232567,4,Ai Otsuka,47,Chime,2019-07-05,Chime
0.59,0.946,7,-2.107,1,0.112,0.185,0.0,0.378,0.223,94.963,audio_features,00vHOSgvVfyLzhlTZIJo1m,spotify:track:00vHOSgvVfyLzhlTZIJo1m,https://api.spotify.com/v1/tracks/00vHOSgvVfyLzhlTZIJo1m,https://api.spotify.com/v1/audio-analysis/00vHOSgvVfyLzhlTZIJo1m,189711,4,Dreamcatcher,44,Full Moon,2018-01-12,Full Moon
